"","Subset","BestModelAIC","AIC","BestModelAICc","AICc","BestModelBIC","BIC"
"213",213,"Cubic Poly","0.172962582899274","Cubic Poly","Inf","Cubic Poly","-0.868240070960452"
"214",214,"Cubic Poly","-2.27972258314213","Cubic Poly","-62.2797225831421","Cubic Poly","-4.23253302097163"
"215",215,"Cubic Poly","2.49464095773704","Cubic Poly","32.494640957737","Cubic Poly","2.89184866613622"
"216",216,"Cubic Poly","-1.08560635558291","Cubic Poly","Inf","Cubic Poly","-2.12680900944264"
"217",217,"Cubic Poly","-7.30847710476285","Cubic Poly","22.6915228952372","Cubic Poly","-6.91126939636367"
"218",218,"Cubic Poly","14.5702764731257","Cubic Poly","74.5702764731257","Cubic Poly","14.2998272184023"
"219",219,"Cubic Poly","12.1409728957822","Cubic Poly","72.1409728957822","Cubic Poly","11.8705236410587"
"220",220,"Cubic Poly","12.4493161821205","Cubic Poly","-47.5506838178795","Cubic Poly","10.496505744291"
"221",221,"Cubic Poly","5.0922117658926","Cubic Poly","Inf","Cubic Poly","4.05100911203288"
"222",222,"Cubic Poly","-27.0213305048996","Cubic Poly","-87.0213305048996","Cubic Poly","-28.9741409427291"
"223",223,"Cubic Poly","13.9238439012259","Cubic Poly","Inf","Cubic Poly","12.8826412473662"
"224",224,"Grompertz","1.80579723978891","NA","NA","Grompertz","0.764594585929183"
"225",225,"Grompertz","5.49070881936006","Grompertz","65.4907088193601","Grompertz","5.22025956463663"
"226",226,"Cubic Poly","13.7719885094435","Cubic Poly","33.7719885094435","Cubic Poly","14.7581113961246"
"227",227,"Cubic Poly","-5.24434672103088","Cubic Poly","Inf","Cubic Poly","-6.28554937489061"
"228",228,"Cubic Poly","12.1191508771089","Cubic Poly","72.1191508771089","Cubic Poly","11.8487016223855"
"229",229,"Cubic Poly","-1.67458583082322","Cubic Poly","58.3254141691768","Cubic Poly","-1.94503508554665"
"230",230,"Grompertz","1.79446125745438","Grompertz","61.7944612574544","Grompertz","1.52401200273094"
"231",231,"Cubic Poly","-10.2380094044985","Cubic Poly","-70.2380094044985","Cubic Poly","-12.190819842328"
"232",232,"Cubic Poly","-1.23877195270846","Cubic Poly","Inf","Cubic Poly","-2.27997460656818"
"233",233,"Cubic Poly","9.81188330206935","Cubic Poly","Inf","Cubic Poly","8.77068064820963"
"234",234,"Cubic Poly","-16.2144880030085","Cubic Poly","43.7855119969915","Cubic Poly","-16.4849372577319"
"235",235,"Cubic Poly","-44.2180552421783","Cubic Poly","-104.218055242178","Cubic Poly","-46.1708656800078"
"236",236,"Grompertz","-2.79912868304831","Grompertz","12.2008713169517","Grompertz","-1.28620321807808"
"237",237,"Grompertz","-8.36575821925605","Grompertz","11.6342417807439","Grompertz","-7.37963533257496"
"238",238,"Grompertz","-0.936336026900113","Grompertz","14.0636639730999","Grompertz","0.576589438070117"
"239",239,"Cubic Poly","9.24639852961046","Cubic Poly","69.2463985296105","Cubic Poly","8.97594927488703"
"240",240,"Grompertz","6.73010591249414","Grompertz","36.7301059124941","Grompertz","7.12731362089332"
"241",241,"Cubic Poly","-0.310583876919157","NA","NA","Cubic Poly","-1.35178653077888"
"242",242,"Grompertz","-6.37489274359791","Grompertz","2.19653582783066","Grompertz","-3.55014595629023"
"243",243,"Grompertz","7.9464679671857","Grompertz","15.4464679671857","Grompertz","11.141754615262"
"244",244,"Cubic Poly","12.5265739189918","Cubic Poly","21.0980024904204","Cubic Poly","15.3513207062995"
"245",245,"Grompertz","8.16373761685402","Grompertz","18.163737616854","Grompertz","10.588270865794"
"246",246,"Cubic Poly","14.912717340318","Cubic Poly","26.912717340318","Cubic Poly","16.9021937043098"
"247",247,"Cubic Poly","-0.511006911289156","Cubic Poly","8.06042166013942","Cubic Poly","2.31373987601853"
"248",248,"Cubic Poly","0.378430828111695","Cubic Poly","12.3784308281117","Cubic Poly","2.36790719210355"
"249",249,"Grompertz","9.2575571456668","Grompertz","29.2575571456668","Grompertz","10.2436800323479"
"250",250,"Cubic Poly","-7.35565671012319","Cubic Poly","2.64434328987681","Cubic Poly","-4.93112346118319"
"251",251,"Cubic Poly","0.470177898432384","Cubic Poly","20.4701778984324","Cubic Poly","1.45630078511348"
"252",252,"Cubic Poly","3.40355700488112","Cubic Poly","23.4035570048811","Cubic Poly","4.38967989156222"
"253",253,"Cubic Poly","8.26003319382891","Cubic Poly","28.2600331938289","Cubic Poly","9.24615608051001"
"254",254,"Cubic Poly","-34.310234871036","Cubic Poly","-31.5829621437633","Cubic Poly","-27.64921232016"
"255",255,"Grompertz","-25.614095156386","Grompertz","-21.864095156386","Grompertz","-20.1588828895944"
"256",256,"Grompertz","-12.2075699706011","Grompertz","-3.6361413991725","Grompertz","-9.38282318329339"
